"","Ano","Codigo_Programa","Codigo_Actividad_u_Obra","Vigente","Devengado","Codigo_Economico_Nivel_4","Codigo_Departamento","Codigo_Municipio","Codigo_Fuente_agregada","Codigo_Renglon","ej"
"919",2014,12,1202000002000,5e+05,144000,2112000,1,101,10,189,0
"922",2014,12,1202000002000,40000,39916.24,2112000,1,101,50,268,1
"932",2014,12,1202000004000,8985784,8809158,2112000,1,101,10,185,1
"933",2014,12,1202000005000,229422,0,2112000,1,101,20,122,0
"934",2014,12,1202000005000,82345,0,2112000,3,301,20,122,0
"935",2014,12,1202000005000,270543,0,2112000,4,401,20,122,0
"936",2014,12,1202000005000,10000,0,2112000,5,501,20,122,0
"937",2014,12,1202000005000,75680,0,2112000,7,701,20,122,0
"938",2014,12,1202000005000,37360,0,2112000,10,1001,20,122,0
"939",2014,12,1202000005000,642367,0,2112000,13,1301,20,122,0
"940",2014,12,1202000005000,102790,0,2112000,14,1401,20,122,0
"941",2014,12,1202000005000,3731,0,2112000,15,1501,20,122,0
"942",2014,12,1202000005000,102762,0,2112000,16,1601,20,122,0
"943",2014,12,1202000006000,334250,0,2112000,1,101,10,122,0
"944",2014,13,1300000002000,268400,0,2112000,1,101,10,246,0
"946",2014,14,1400000003000,50000,0,2112000,1,101,10,122,0
"955",2014,14,1401000001000,84450,44320,2112000,1,101,10,122,0
"957",2014,14,1401000001000,301380,250719,2112000,1,101,10,141,0
"958",2014,14,1401000001000,502080,301483.5,2112000,1,101,10,185,0
"959",2014,14,1401000001000,1187552,1100000,2112000,1,101,10,189,0
"960",2014,14,1401000001000,50750,50700,2112000,1,101,10,199,1
"961",2014,14,1401000001000,427944,420872,2112000,1,101,10,211,1
"962",2014,14,1401000001000,135,100,2112000,1,101,10,254,0
"963",2014,14,1401000001000,300,210,2112000,1,101,10,261,0
"964",2014,14,1401000001000,3000,2879.1,2112000,1,101,10,266,1
"965",2014,14,1401000001000,16287,16266.4,2112000,1,101,10,268,1
"966",2014,14,1401000001000,1752,1601.9,2112000,1,101,10,292,0
"967",2014,14,1401000001000,22596,14068.35,2112000,1,101,10,293,0
"968",2014,14,1401000001000,11250,3169.6,2112000,1,101,10,295,0
"969",2014,3,300000005000,1250,1221,2113000,1,101,10,195,1
"970",2014,3,300000005000,50600,0,2211000,1,101,10,322,0
"971",2014,3,300000005000,7000,0,2211000,1,101,10,326,0
"972",2014,3,300000005000,8000,0,2211000,1,101,10,328,0
"973",2014,3,300000005000,2000,0,2211000,1,101,10,329,0
"974",2014,11,1102000003000,120000,0,2211000,1,101,10,322,0
"975",2014,12,1202000003000,20000,0,2211000,1,101,10,328,0
"976",2014,14,1400000003000,100800,100800,2211000,1,101,50,324,1
"71627",2015,5,500000008000,294219,294217.72,2111000,1,101,10,11,1
"71629",2015,5,500000008000,569,567.75,2111000,1,101,10,13,1
"71631",2015,5,500000008000,13500,13500,2111000,1,101,10,14,1
"71632",2015,5,500000008000,324177,324176.31,2111000,1,101,10,15,1
"71634",2015,5,500000008000,3494297,3494296.48,2111000,1,101,10,22,1
"71635",2015,5,500000008000,62497,62496,2111000,7,701,10,22,1
"71637",2015,5,500000008000,1021,1020,2111000,7,701,10,25,1
"71638",2015,5,500000008000,179140,179139.11,2111000,1,101,10,26,1
"71639",2015,5,500000008000,2952473,2952472.25,2111000,1,101,10,27,1
"71640",2015,5,500000008000,71353,71352.48,2111000,7,701,10,27,1
"71641",2015,5,500000008000,11000,0,2111000,1,101,10,41,0
"71642",2015,5,500000008000,12000,6402.19,2111000,1,101,10,42,0
"71643",2015,5,500000008000,605790,605784.04,2111000,1,101,10,71,1
"71644",2015,5,500000008000,10432,10426.56,2111000,7,701,10,71,1
"71645",2015,5,500000008000,583847,583846.83,2111000,1,101,10,72,1
"71646",2015,5,500000008000,10423,10421.82,2111000,7,701,10,72,1
"71647",2015,5,500000008000,9707,9705.2,2111000,1,101,10,73,1
"71648",2015,5,500000008000,400,400,2111000,7,701,10,73,1
"71649",2015,5,500000008000,78573,77453,2112000,1,101,10,113,1
"71651",2015,5,500000008000,1320,1320,2112000,1,101,10,122,1
"71653",2015,5,500000008000,9026.75,9026.75,2112000,1,101,10,162,1
"71654",2015,5,500000008000,60143,60143,2112000,1,101,10,165,1
"71656",2015,5,500000008000,22100.4,22100.4,2112000,1,101,10,191,1
"71657",2015,5,500000008000,25,25,2112000,1,101,10,199,1
"71658",2015,5,500000008000,8859.1,8859.1,2112000,1,101,10,211,1
"71659",2015,5,500000008000,14250,14250,2112000,1,101,10,241,1
"71660",2015,5,500000008000,1528.6,1528.6,2112000,1,101,10,243,1
"71661",2015,5,500000008000,3100.35,3100.35,2112000,1,101,10,244,1
"71664",2015,5,500000008000,250000,250000,2112000,1,101,10,262,1
"71666",2015,5,500000008000,33534.5,33534.27,2112000,1,101,10,267,1
"71667",2015,5,500000008000,4014.8,4014.8,2112000,1,101,10,291,1
"71670",2015,11,1102000002000,24598,24598,2112000,1,101,50,122,1
"71672",2015,11,1102000002000,5383,5383,2112000,2,201,50,122,1
"71673",2015,11,1102000002000,3528,3528,2112000,3,301,50,122,1
"71675",2015,11,1102000002000,13230,13230,2112000,4,401,50,122,1
"71678",2015,11,1102000002000,13929,13929,2112000,5,501,50,122,1
"71679",2015,11,1102000002000,12402,12402,2112000,6,601,50,122,1
"71681",2015,11,1102000002000,14074,14074,2112000,7,701,50,122,1
"71682",2015,11,1102000002000,13284,13284,2112000,8,801,50,122,1
"71684",2015,11,1102000002000,17357,17357,2112000,9,901,50,122,1
"71688",2015,11,1102000002000,11800,11800,2112000,10,1001,50,122,1
"71693",2015,11,1102000002000,8900,8900,2112000,11,1101,50,122,1
"71696",2015,11,1102000002000,34032,34032,2112000,12,1201,50,122,1
"71698",2015,11,1102000002000,38254,38254,2112000,13,1301,50,122,1
"71705",2015,11,1102000002000,32607,32607,2112000,14,1401,50,122,1
"71706",2015,11,1102000002000,11242,11242,2112000,15,1501,50,122,1
